Task,Description,Output
Network for proprietary deal flow,"Attend founder events, maintain relationships with operators, angels, and other VCs to build a steady stream of warm introductions to promising startups before they hit the market.",New startup added to CRM or research list.
Monitor top investor portfolios,"Track new investments made by top-tier VCs (Benchmark, Sequoia, a16z, Founders Fund) to surface co-investment opportunities and identify hot companies early.",New companies flagged and added to watchlist.
Scan accelerator cohorts,"Systematically review YC, Techstars, and other accelerator batch lists each cycle to identify promising companies that fit the fund's thesis.",Shortlist of companies to screen added to research list.
Track industry news and signals,"Monitor TechCrunch, LinkedIn, newsletters, and data aggregators for new companies announcing fundraises or milestones.",New companies identified and logged in CRM.
Search Crunchbase or PitchBook,"Proactively query databases for companies matching the fund's investment thesis by stage, sector, geography, and traction metrics.",List of companies to evaluate added to deal flow.
Leverage LP and advisor network,"Email or call LPs, advisors, and portfolio CEOs to ask for introductions to founders building in priority areas.",Warm introductions to founders received.
Monitor GitHub and Product Hunt,"Track technical founders shipping open source projects or consumer products in high-priority verticals to surface companies before they raise.",Companies added to radar for outreach.
Build a conference target list,"Before attending a major conference (SaaStr, YC Demo Day, Founders Forum), identify which companies and founders to prioritize meeting.",Meeting schedule built and calendar blocked.
Analyze competitor VC portfolios,"Review what competing funds have recently backed to understand market dynamics, avoid overlap, and spot signals of where top investors see opportunity.",Market intelligence notes saved to CRM.
Review inbound pitches,"Triage unsolicited pitch decks and intro requests from founders, syndicates, and scouts to determine which warrant further review.",Pass decision or advancement to initial screen.
Screen a company,"Review basic details on a company—team background, market, product, stage, and traction—to decide whether it fits the investment thesis and warrants deeper attention.",Pass or advance to outreach; CRM updated.
Review pitch deck,"Evaluate the startup's pitch materials for narrative clarity, market opportunity, business model, team quality, traction, and fundraising ask.",Decision to advance or pass; key questions noted.
Evaluate market size,"Assess Total Addressable Market (TAM), Serviceable Addressable Market (SAM), and Serviceable Obtainable Market (SOM) to determine if the opportunity can support a venture-scale outcome.",Market size assessment saved to startup record.
Assess founder-market fit,"Evaluate whether the founding team has deep domain expertise, lived experience, or an unfair insight advantage in the problem they are solving.",Founder assessment notes added to CRM.
Check stage and check size fit,"Confirm the startup's current stage and fundraising ask align with the fund's check size, ownership targets, and stage strategy.",Stage and fit confirmation logged.
Apply fund scoring criteria,"Use the fund's internal scoring rubric—covering founder quality, market size, product, and traction—to rank and compare the opportunity against others in the pipeline.",Scored startup record with rank and flag.
Check funding history,"Review prior rounds, SAFEs, convertible notes, valuations, and existing investor names to understand the company's capitalization history.",Funding history logged and cap table previewed.
Assess geographic fit,"Evaluate whether the company's headquarters and target market align with the fund's geographic focus and ability to add value.",Location and market fit assessment logged.
Research recent company news,"Scan for press coverage, product launches, executive hires, and recent announcements to surface signals of momentum or risk.",Signal notes added to startup record.
Evaluate competitive landscape,"Identify key direct and adjacent competitors, assess market positioning, and determine the startup's differentiation and defensibility.",Competitive landscape notes saved.
Add a startup to the CRM,"Log a new company's details—name, website, stage, sector, founder names, and source—into the fund's deal tracking system.",CRM entry created and startup appears in deal flow.
Update startup pipeline status,"Move a company to the appropriate deal flow stage (Uncontacted, Outbound, First Call, Engage, Term Sheet) as the relationship progresses.",Status updated and movement recorded in CRM.
Add highlights and pros/cons,"Document specific strengths and risks identified during initial review—such as a repeat founder, high churn, or category leadership—as structured notes on the startup.",Highlights attached to the startup record.
Send an outbound note,"Craft and send a personalized introductory message to a founder that explains genuine investment interest and a specific reason for reaching out.",Email or LinkedIn message sent; outreach logged.
Request a warm introduction,"Identify a mutual connection and ask them to facilitate a warm introduction to a specific founder to increase response rate.",Introduction request sent; awaiting intro.
Follow up after outbound,"Re-engage founders who haven't responded to the initial outreach with a brief, non-pushy follow-up message.",Follow-up message sent; outreach record updated.
Schedule first call,"Coordinate calendars with the founder and confirm a 30-60 minute introductory call.",Meeting booked and calendar invite sent.
Send post-meeting follow-up,"Send a brief thank-you note after the initial call with a summary of interest and clear next steps.",Email sent; CRM updated with meeting notes.
Reach out for deal update,"Contact a founder you have been tracking to check on fundraising progress, key milestones hit, and round status.",Status update received and CRM refreshed.
Conduct first call with founders,"Have an initial introductory meeting with founders to hear the pitch, ask clarifying questions, and assess the team's vision, coachability, and communication style.",Meeting notes logged; decision to advance or pass.
Request a product demo,"Ask founders to walk through or provide access to the product to evaluate quality, user experience, and technical sophistication firsthand.",Demo completed; product assessment notes saved.
Evaluate founding team dynamics,"Observe how co-founders interact during calls and presentations to assess complementarity, alignment, and communication effectiveness.",Team dynamics assessment logged.
Log meeting notes and action items,"Record key takeaways, open questions, and agreed-upon next steps after every founder interaction to maintain an accurate relationship history.",CRM updated with notes and next steps.
Conduct a second or third founder meeting,"Hold deeper follow-up calls to explore product, go-to-market strategy, financials, and competitive positioning in greater detail.",Deeper diligence notes; partner introduction scheduled.
Introduce founders to a partner,"Arrange for a fund partner to meet the founders as a step toward investment committee review.",Partner meeting scheduled.
Request data room access,"Ask the founding team to share financial documents, legal materials, metrics, and other diligence materials via a secure data room.",Data room access granted.
Review financial model,"Analyze the startup's revenue model, cost structure, growth assumptions, and scenario forecasts to assess financial rigor and trajectory.",Financial model assessment saved.
Evaluate unit economics,"Assess LTV, CAC, payback period, gross margins, and contribution margins to determine whether the business model is fundamentally healthy.",Unit economics analysis documented.
Review revenue quality,"Analyze ARR growth, net revenue retention, churn rate, customer concentration, and contract terms to assess the durability of the revenue base.",Revenue quality assessment logged.
Assess burn rate and runway,"Review the company's monthly cash burn, cash on hand, and projected runway to understand urgency and capital efficiency.",Burn and runway assessment saved.
Conduct customer reference calls,"Speak directly with 3-5 existing customers to validate retention, satisfaction, product-market fit, and use cases.",Reference call notes saved; key themes documented.
Interview churned customers or lost prospects,"Reach out to customers who left or prospects who did not convert to understand competitive losses and product gaps.",Risk identification notes added to diligence file.
Conduct technical due diligence,"Assess the product's technical architecture, scalability, security posture, technical debt, and defensibility by engaging a technical expert or reviewing code.",Technical DD report completed.
Perform legal due diligence,"Review corporate structure, IP ownership, material contracts, employment agreements, regulatory compliance, and pending litigation.",Legal DD report completed; red flags flagged.
Review cap table,"Analyze ownership structure, existing investor stakes, option pool size, SAFE notes, and dilution implications for the proposed round.",Cap table analysis and pro forma ownership completed.
Assess intellectual property,"Confirm IP ownership, patent filings, trade secret protections, and whether core technology is defensible and owned by the company.",IP assessment documented.
Conduct independent market research,"Validate market size claims and dynamics using third-party industry reports, primary interviews, and competitive intelligence tools.",Market validation report completed.
Review financial statements,"Analyze historical P&L, balance sheet, and cash flow statements to verify the accuracy of reported financials.",Financial statement review completed.
Conduct cohort retention analysis,"Review customer cohorts by acquisition month to understand retention curves, monetization trends, and whether engagement is improving over time.",Cohort analysis report saved.
Evaluate growth metrics,"Analyze month-over-month and year-over-year growth rates, pipeline velocity, and leading indicators to assess momentum.",Growth metrics report completed.
Conduct founder background checks,"Verify founder backgrounds, prior company histories, criminal records, and professional reputation through formal screening services.",Background check report completed.
Check founder references,"Speak with prior employers, investors, colleagues, and employees who have worked closely with the founders to assess character, leadership, and track record.",Reference notes summarized and saved.
Analyze competitive moat,"Assess the strength and durability of the startup's competitive advantage—network effects, switching costs, data flywheel, proprietary technology, or regulatory barrier.",Competitive moat analysis documented.
Assess regulatory environment,"Evaluate compliance requirements, licensing obligations, and government or legal headwinds that could constrain the business.",Regulatory risk assessment saved.
Benchmark against comparable companies,"Compare the startup's metrics to public company comps and recent private market transactions to calibrate valuation and performance.",Benchmarking analysis completed.
Evaluate product-market fit,"Assess whether the startup has achieved true PMF by reviewing retention cohorts, NPS, qualitative customer feedback, and organic growth signals.",PMF assessment documented.
Evaluate technology stack,"Review the startup's technology choices—languages, infrastructure, tooling—for scalability, security, and team-market fit.",Tech stack assessment saved.
Review data room for completeness,"Systematically check that all required diligence documents are present and organized before finalizing the investment decision.",Data room checklist completed; gaps flagged.
Prepare an investment memo,"Write a structured internal document summarizing the investment thesis, key risks, competitive dynamics, team assessment, and a formal invest or pass recommendation.",Investment memo completed and shared with partners.
Present to investment committee,"Present findings and a formal recommendation to the fund's general partners or investment committee for approval to proceed.",IC decision made; term sheet authorized or deal passed.
Conduct valuation analysis,"Assess an appropriate entry valuation using comparable transactions, revenue multiples, DCF, and market-based benchmarks.",Valuation range and recommendation documented.
Negotiate the term sheet,"Discuss and negotiate economic terms (valuation, pro rata rights, option pool) and governance terms (board seat, information rights) with the founding team.",Signed term sheet executed.
Syndicate the deal,"Identify, vet, and bring in co-investors to fill the remainder of the round, ensuring cap table quality and strategic value.",Round fully subscribed with co-investors committed.
Determine lead vs. follow role,"Evaluate whether the fund has conviction to lead the round (set terms, take board seat) or participate as a strategic follow-on investor.",Investment role determined and communicated to founders.
Complete post-term sheet legal diligence,"Work with legal counsel to finalize remaining diligence items between term sheet signing and close of the financing.",All diligence items resolved; documents ready for execution.
Review and negotiate legal documents,"Engage legal counsel to review the Stock Purchase Agreement, Investor Rights Agreement, Right of First Refusal, and Co-Sale Agreement.",Executed legal documents signed by all parties.
Finalize cap table and wire capital,"Confirm the post-close cap table, option pool, and ownership percentages, then wire the investment amount to the company.",Capital deployed and company on-boarded to portfolio.
Announce the investment,"Coordinate with the portfolio company on the timing and content of a public announcement of the investment via press release or social media.",Announcement published; deal visibility increased.
Conduct board meetings,"Participate in monthly or quarterly board meetings to provide oversight, governance, and strategic input to the portfolio company.",Board meeting notes and action items recorded.
Prepare for board meetings,"Review board materials, financial updates, and key metrics ahead of each board meeting and formulate questions and recommendations.",Board prep notes completed; agenda reviewed.
Provide strategic advice to founders,"Advise portfolio CEOs on company strategy, pricing decisions, go-to-market approach, organizational design, or product direction.",Strategic input delivered; decision supported.
Help with executive hiring,"Assist a portfolio company in defining the role, sourcing candidates through the fund's network, and evaluating finalists for key executive hires.",Hire made or shortlist of candidates provided.
Make customer introductions,"Connect a portfolio company with potential customers from the fund's LP base, co-investor networks, or the GP's personal network.",Introduction sent; meeting facilitated.
Make strategic partner introductions,"Connect a portfolio company with potential technology partners, distribution channels, advisors, or vendors who can accelerate growth.",Introduction sent; partnership conversation initiated.
Monitor portfolio company KPIs,"Review monthly or quarterly financial and operational metrics for each portfolio company to track performance against plan.",Updated KPI dashboard; issues flagged proactively.
Evaluate follow-on investment,"Assess the portfolio company's progress, current valuation, and terms to decide whether to invest in the next funding round.",Follow-on investment decision made.
Assist with bridge financing,"Help an underperforming or capital-constrained portfolio company raise a bridge round or extend runway to reach the next milestone.",Bridge round completed or plan formalized.
Support M&A processes,"Help a portfolio company evaluate acquisition offers, prepare for a sale process, or negotiate deal terms.",M&A outcome achieved (acquisition close or decision to continue operating).
Write board observer notes,"Document key observations, decisions made, and action items from board meetings in which the fund participates as an observer rather than a board member.",Observer notes saved and shared with relevant parties.
Track portfolio company milestones,"Monitor portfolio companies for key milestones—product launches, fundraising announcements, major hires, and press coverage—to stay informed between board meetings.",News feed and milestone log updated.
Identify and escalate portfolio issues,"Proactively identify early warning signs—high churn, cash crunch, team conflict, or lost market position—and develop a remediation plan.",Remediation plan communicated to founders.
Assess exit readiness,"Evaluate whether a portfolio company is ready for an IPO or M&A process by reviewing metrics, governance, and market conditions.",Exit readiness assessment and timeline recommendation.
Track missed deals,"Analyze high-value investments made by top-tier VCs in companies that were previously evaluated and passed on, to understand miss patterns.",Missed deal logged; pass rationale reviewed and categorized.
Prepare LP quarterly report,"Write a comprehensive quarterly update to limited partners covering portfolio performance, new investments, exits, and fund-level metrics.",LP report delivered on time.
Issue capital calls to LPs,"Notify LPs of capital deployment events and request the draw of committed capital according to the fund's drawdown schedule.",Capital received from LPs and available for deployment.
Conduct LP annual meeting,"Host a formal annual meeting with LPs to present the fund's investment activity, portfolio status, financial performance, and market outlook.",LP meeting completed; LP confidence maintained.
Manage LP relationships,"Proactively maintain relationships with existing limited partners through updates, events, and introductions to portfolio companies.",LP retention and satisfaction sustained.
Track fund-level economics,"Monitor management fees, carry calculations, fund NAV, IRR, TVPI, and RVPI to maintain an accurate view of the fund's financial health.",Fund performance report updated.
Build and maintain an advisor network,"Identify and engage technical, operational, and domain experts who can help the fund evaluate deals and support portfolio companies.",Advisor network expanded; experts matched to portfolio companies.
Track industry trends and thesis development,"Monitor macro trends, emerging technologies, regulatory shifts, and category dynamics in priority sectors to sharpen the fund's investment thesis.",Thesis updated; new conviction areas documented.
Attend industry conferences,"Participate in key events (SaaStr, YC Demo Day, Web Summit) to source deals, meet founders, deepen relationships with co-investors, and build the fund's brand.",New contacts added; potential deals identified.
Build co-investor relationships,"Proactively maintain working relationships with VCs who co-invest alongside the fund or refer proprietary deals.",Co-investor referral network strengthened.
Conduct sector market mapping,"Systematically map out the competitive landscape for a specific sector or thesis area to identify white spaces and the strongest companies to back.",Market map completed and used to prioritize outreach.
Publish thought leadership content,"Write blog posts, give conference talks, or post insights on LinkedIn to build the fund's brand and attract high-quality inbound deal flow.",Content published; brand visibility increased.
Create a research list,"Build a curated list of companies in a specific sector, cohort (e.g. YC W25), or theme for systematic coverage and comparison.",Research list created and populated in the platform.
Import companies in bulk,"Upload a CSV of companies to the CRM for batch processing, scoring, and assignment.",Companies imported and available in deal flow pipeline.
Configure scoring rules,"Set up or update the fund's internal scoring criteria for evaluating startups by sector, stage, and founder characteristics.",Scoring rules updated; new companies auto-scored.
Export data for analysis,"Export CRM, portfolio, or pipeline data for reporting, financial modeling, or external analysis.",Data export completed and shared or imported into analysis tool.
Conduct reference check on a VC co-investor,"Before partnering with another fund on a deal, speak with founders or other GPs who have worked with them to assess value-add and co-investor quality.",Co-investor quality assessment completed.
Evaluate acqui-hire opportunities,"Identify situations where a struggling portfolio company or target startup could be acquired for its team by a strategic buyer.",Acqui-hire assessment and introductions made.
Review and improve the fund's investment process,"Regularly audit the fund's sourcing, diligence, and portfolio management workflows to identify inefficiencies and best practices.",Process improvements documented and implemented.
